Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
"Building a neural network FROM SCRATCH (no Tensorflow/Pytorch, just numpy & math)",Samson Zhang,2020-11-24 15:36:37+00:00,10,2648386,93800,1605,0.03541778449,0.0006060292548,1888
99% of Beginners Don't Know the Basics of AI,Jeff Su,2024-09-03 13:00:49+00:00,27,2525385,56497,1885,0.02237162953,0.0007464205472,612
Deep Learning Basics: Introduction and Overview,Lex Fridman,2019-01-11 16:47:40+00:00,28,2503859,46148,908,0.01843074293,0.0003626400837,4086
"AI, Machine Learning, Deep Learning and Generative AI Explained",IBM Technology,2024-08-05 11:00:52+00:00,27,2471570,58941,1511,0.0238475852,0.000611352051,601
Prompt Engineering Tutorial – Master ChatGPT and LLM Responses,freeCodeCamp.org,2023-09-05 14:36:07+00:00,27,2439346,60236,1084,0.02469349379,0.0004443812217,2496
What is Machine Learning?? Dr Tanu Jain Interview #upscinterview #upscaspirants #shortsfeed #fypage,UPSC Brilliance,2025-02-17 14:31:02+00:00,22,4391676,82870,424,0.01886978482,0.0000965,20
AI Learns Red Light Green Light (reinforcement learning),AI Warehouse,2025-08-30 18:17:15+00:00,24,2311265,70385,4153,0.03045300714,0.00179685073,763
Machine Learning Course for Beginners,freeCodeCamp.org,2021-08-30 13:23:10+00:00,27,1933887,55410,1397,0.02865212463,0.0007223789589,35539
Which Course is Best to Master AI?! 🎓| Tamil CEO Sidd Ahmed,Sidd Ahmed,2023-12-06 15:14:33+00:00,27,2055113,103382,606,0.05030475195,0.000294874153,58
11. Introduction to Machine Learning,MIT OpenCourseWare,2017-05-19 14:22:40+00:00,27,1773186,25461,468,0.01435889165,0.0002639315538,3091
5 AI tools for all Coders🙌🏻,Apna College,2023-04-24 16:36:00+00:00,27,1806217,204903,364,0.1134431171,0.0002015260616,60
What is Machine Learning? | 100 Days of Machine Learning,CampusX,2021-03-13 16:15:53+00:00,27,1718265,18450,803,0.01073756915,0.0004673316006,1200
Complete Statistics For Data Science In 6 hours By Krish Naik,Krish Naik,2022-06-19 04:28:36+00:00,27,1694458,31695,869,0.01870508522,0.0005128480536,19712
Markov Chains Clearly Explained! Part - 1,Normalized Nerd,2020-10-25 12:40:25+00:00,27,1689074,35117,758,0.02079066945,0.0004487663366,564
Stanford CS229 I Machine Learning I Building Large Language Models (LLMs),Stanford Online,2024-08-27 22:02:57+00:00,27,1670211,44355,387,0.02655650899,0.0002317071126,6271
Support Vector Machines Part 1 (of 3): Main Ideas!!!,StatQuest with Josh Starmer,2019-09-30 18:45:50+00:00,27,1646581,37930,2215,0.02303559738,0.001345210867,1232
